Food Code,Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Glucose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Cholesterol (mg)
,,PROT,FAT,CHO,KCALS,STAR,TOTSUG,GLUC,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,MONOFOD,POLYFOD,CHOL
,,Protein,Fat,Carbohydrate,kcal,Starch,Total sugars,Glucose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids per 100g food,Monounsaturated fatty acids per 100g food,Polyunsaturated fatty acids per 100g food,Cholesterol
13-145,Ackee# canned# drained,2.9,15.2,0.8,151,Tr,0.8,0.1,Tr,0.7,0,0,,N,,N,N,N,0
13-146,Agar# dried,1.3,1.2,Tr,16,0,Tr,0,0,0,0,0,,81.1,,0.3,0.1,0.4,0
13-147,Agar# dried# soaked and drained,0.2,0.1,Tr,2,0,Tr,0,0,0,0,0,,15,,Tr,Tr,Tr,0
13-148,Alfalfa sprouts# raw,4,0.7,0.4,24,Tr,0.3,0.1,0.2,Tr,0,0,,1.7,,N,N,N,0
13-801,Allspice# ground,6.1,8.7,N,N,N,N,N,N,N,0,0,,N,,2.5,0.7,2.4,0
14-870,Almonds# flaked and ground,21.1,55.8,6.9,612,2.7,4.2,Tr,Tr,4.2,0,0,0,7.4,N,4.43,38.19,10.46,0
14-897,Almonds# toasted,21,52.5,5.9,579,0.8,5.1,Tr,Tr,5,0.1,0,0,N,10.9,4.09,33.08,12.96,0
14-898,Almonds# weighed with shells,7.8,18.5,1.9,205,0.3,1.6,0.1,Tr,1.5,Tr,0,0,N,4.6,1.41,11.67,4.56,0
14-896,Almonds# whole kernels,21.2,49.9,5.3,554,0.8,4.5,0.2,0.1,4.1,Tr,0,0,N,12.5,3.8,31.55,12.33,0
13-150,Amaranth leaves# boiled in unsalted water,3,0.3,0.3,16,0.1,0.2,Tr,0.2,Tr,0,0,,N,,0.1,0.1,0.1,0
13-149,Amaranth leaves# raw,3.5,0.3,0.3,18,0.1,0.2,Tr,0.2,Tr,0,0,,N,,0.1,0.1,0.1,0
14-001,Amla,0.5,0.1,13.7,58,N,N,N,N,N,0,0,,N,,Tr,Tr,Tr,0
16-448,Anchovies# canned in oil# drained,25.2,10,0,191,0,0,0,0,0,0,0,0,0,0,1.6,5.3,1.8,63
13-802,Anise seeds,17.6,15.9,N,N,N,N,N,N,N,0,0,,N,,2.3,9.8,3.1,0
14-272,Apple juice concentrate# unsweetened# commerical,0.5,0.6,57.6,223,0,57.6,13.2,33.9,10.4,0,0,0,Tr,,0.1,Tr,0.3,0
14-331,Apple juice# clear# ambient and chilled,0.1,Tr,9.7,37,0,9.7,2.4,5.5,1.8,0,0,0,Tr,Tr,Tr,Tr,Tr,0
17-851,Apple sauce# homemade,0.3,0.2,20.2,79,Tr,20.2,1.6,4.8,13.7,0,0,0,1.3,1.4,0.05,0.02,0.11,0
14-344,Apples# cooking# baked with sugar# flesh only,0.2,0.4,17.1,69,Tr,17.1,2.4,6.6,8.1,0,0,0,1.4,1.9,0.07,0.04,0.14,0
14-345,Apples# cooking# baked with sugar# flesh only# weighed with skin,0.2,0.3,14.3,57,Tr,14.3,2,5.5,6.8,0,0,0,1.2,1.6,0.06,0.03,0.12,0
14-342,Apples# cooking# baked without sugar# flesh only,0.2,0.4,11.4,47,Tr,11.4,2.5,7,1.9,0,0,,1.5,2,0.07,0.04,0.15,0
14-343,Apples# cooking# baked without sugar# flesh only# weighed with skin,0.2,0.3,9.6,40,Tr,9.6,2.1,5.9,1.6,0,0,,1.3,1.7,0.06,0.03,0.13,0
14-362,Apples# cooking# raw# flesh only# peeled,0.3,0.3,8.9,37,Tr,8.9,2,5.9,1,0,0,0,1.6,1.7,0.06,0.03,0.13,0
14-363,Apples# cooking# raw# flesh only# weighed with skin and core,0.2,0.2,6.5,27,Tr,6.4,1.5,4.3,0.7,0,0,0,1.2,1.2,0.04,0.02,0.09,0
14-332,Apples# cooking# stewed with sugar# flesh only,0.2,0.3,20.8,81,Tr,20.8,3.1,6.7,11,0,0,0,1,1.4,0.06,0.03,0.13,0
14-320,Apples# cooking# stewed without sugar# flesh only,0.2,0.3,9.7,40,Tr,9.7,2.1,5.9,1.7,0,0,0,1.3,1.7,0.06,0.03,0.13,0
14-016,Apples# eating# dried,2,0.5,60.1,238,Tr,60.1,8.6,31.7,19.9,0,0,,9.7,,0.1,Tr,0.3,0
14-319,Apples# eating# raw# flesh and skin,0.6,0.5,11.6,51,Tr,11.6,2.1,6.7,2.8,0,0,0,1.3,1.2,0.12,0.04,0.2,0
14-346,Apples# eating# raw# flesh and skin# weighed with core,0.5,0.4,10,43,Tr,10,1.8,5.8,2.4,0,0,,1.1,1,0.1,0.03,0.17,0
14-031,Apricots# dried,4.8,0.7,43.4,188,0,43.4,20.8,10,12.6,0,0,,7.7,,N,N,N,0
14-032,Apricots# dried# stewed with sugar,1.9,0.3,22,92,0,22,8.7,4.4,8.9,0,0,,3,,Tr,Tr,Tr,0
14-033,Apricots# dried# stewed without sugar,2,0.3,17.8,77,0,17.8,8.8,4.4,4.7,0,0,,3.2,,Tr,Tr,Tr,0
14-025,Apricots# raw# flesh and skin,0.9,0.1,7.2,31,0,7.2,1.6,0.9,4.6,0,0,0,1.7,N,Tr,Tr,Tr,0
14-026,Apricots# raw# flesh and skin# weighed with stones,0.8,0.1,6.6,29,0,6.6,1.5,0.8,4.2,0,0,0,1.6,,Tr,Tr,Tr,0
14-392,Apricots# ready-to-eat# semi-dried,2.2,0.5,39.4,161,0,39.4,25.1,10.4,3.9,0,0,0,6.3,5.3,0.13,0.02,0.25,0
14-027,Apricots# stewed with sugar,0.7,0.1,18.3,72,0,18.3,2.2,2.1,14,0,0,,1.6,,Tr,Tr,Tr,0
14-028,Apricots# stewed with sugar# weighed with stones,0.6,0.1,17.1,67,0,17.1,2.1,2,13.1,0,0,,1.5,,Tr,Tr,Tr,0
14-029,Apricots# stewed without sugar,0.7,0.1,6.2,27,0,6.2,1.6,1,3.5,0,0,,1.5,,Tr,Tr,Tr,0
14-030,Apricots# stewed without sugar# weighed with stones,0.7,0.1,5.8,25,0,5.8,1.5,0.9,3.3,0,0,,1.4,,Tr,Tr,Tr,0
13-152,Arrowhead# boiled in unsalted water,4.2,0.3,17.8,91,N,N,N,N,N,0,0,,N,,N,N,N,0
13-151,Arrowhead# raw,5,0.3,21.5,107,N,N,N,N,N,0,0,,N,,N,N,N,0
11-001,Arrowroot,0.4,0.1,94,355,94,Tr,Tr,0,Tr,0,0,,0.1,,,,,
13-155,Artichoke# globe# base of leaves and heart# boiled in unsalted water,2.9,0.2,2.7,18,Tr,1.3,0.8,0.4,0.1,0,0,,N,,0.1,Tr,0.1,0
13-154,Artichoke# globe# boiled# weighed as served,1.2,0.1,1.2,8,Tr,0.6,0.3,0.2,Tr,0,0,,N,,Tr,Tr,Tr,0
